,precision,recall,f1-score,support
Apple,1.0,1.0,1.0,20.0
Banana,1.0,1.0,1.0,20.0
Blackgram,1.0,1.0,1.0,20.0
ChickPea,1.0,1.0,1.0,20.0
Coconut,1.0,1.0,1.0,20.0
Coffee,1.0,1.0,1.0,20.0
Cotton,1.0,1.0,1.0,20.0
Grapes,1.0,1.0,1.0,20.0
Jute,0.9047619047619048,0.95,0.926829268292683,20.0
KidneyBeans,1.0,1.0,1.0,20.0
Lentil,1.0,1.0,1.0,20.0
Maize,1.0,1.0,1.0,20.0
Mango,1.0,1.0,1.0,20.0
MothBeans,1.0,1.0,1.0,20.0
MungBean,1.0,1.0,1.0,20.0
Muskmelon,1.0,1.0,1.0,20.0
Orange,1.0,1.0,1.0,20.0
Papaya,1.0,1.0,1.0,20.0
PigeonPeas,1.0,1.0,1.0,20.0
Pomegranate,1.0,1.0,1.0,20.0
Rice,0.9473684210526315,0.9,0.9230769230769231,20.0
Watermelon,1.0,1.0,1.0,20.0
accuracy,0.9931818181818182,0.9931818181818182,0.9931818181818182,0.9931818181818182
macro avg,0.993278651173388,0.993181818181818,0.9931775541531639,440.0
weighted avg,0.9932786511733879,0.9931818181818182,0.9931775541531638,440.0
