,precision,recall,f1-score,support
Apple,1.0,1.0,1.0,20.0
Banana,1.0,1.0,1.0,20.0
Blackgram,0.9523809523809523,1.0,0.975609756097561,20.0
ChickPea,1.0,1.0,1.0,20.0
Coconut,1.0,1.0,1.0,20.0
Coffee,1.0,1.0,1.0,20.0
Cotton,1.0,1.0,1.0,20.0
Grapes,1.0,1.0,1.0,20.0
Jute,0.9090909090909091,1.0,0.9523809523809523,20.0
KidneyBeans,1.0,1.0,1.0,20.0
Lentil,1.0,0.9,0.9473684210526315,20.0
Maize,1.0,1.0,1.0,20.0
Mango,1.0,1.0,1.0,20.0
MothBeans,0.9090909090909091,1.0,0.9523809523809523,20.0
MungBean,1.0,1.0,1.0,20.0
Muskmelon,1.0,1.0,1.0,20.0
Orange,1.0,1.0,1.0,20.0
Papaya,1.0,1.0,1.0,20.0
PigeonPeas,1.0,0.95,0.9743589743589743,20.0
Pomegranate,1.0,1.0,1.0,20.0
Rice,1.0,0.9,0.9473684210526315,20.0
Watermelon,1.0,1.0,1.0,20.0
accuracy,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9886363636363636
macro avg,0.9895710350255804,0.9886363636363634,0.9886121580601682,440.0
weighted avg,0.9895710350255805,0.9886363636363636,0.9886121580601683,440.0
